ResponseId,PLZ,Bundesland,Kreis,Stadt.Dummy,EW.km2,Rural.Dummy,EW,Metropol.Dummy,,
R_3Ejbrmfp9BIgWZN,55116,Rheinland-Pfalz,Mainz,Stadt,2237,0,218578,0,,
R_2fy81xrAFdU1kFH,4159,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_2zoJdjLDrEFFjgM,22299,Hamburg,Hamburg,Stadt,2446,0,1847253,1,,
R_1LAqAXMHFj1UaOO,86368,Bayern,Augsburg,Kreis,237,0,253468,0,,
R_2PuFKBnTOusb8XB,91575,Bayern,Ansbach,Kreis,94,1,179030,0,,
R_3Kx9O3CYJHW49Xm,1099,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_1oulm09ujEkuDgv,1109,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_3PEIrTVVkFLxuqP,1129,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_27y8A3Zj6nzNKqV,1279,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_1Kjr6czlprVUmC7,1157,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_bOb634Q0DahjvNv,1219,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_3HjgmYUXJxaxSdq,1219,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_1DTiUztv4xLaUOi,1219,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_3RawDJNyWUTwXwf,1257,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_2qy2oSlFTTW6Ku8,1277,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_1OpHEYGaudDUXhh,1307,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_x4xnDE0bfKrSYgx,1309,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_25Bdz9oNJQtxa2U,1309,Sachsen,Dresden,Stadt,1695,0,556780,1,,
R_2ygAh9s5Hi7htjw,1589,Sachsen,Meißen,Kreis,166,0,241717,0,,
R_0UOcfnhhauojg09,1774,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis,148,1,245586,0,,
R_2w4R2IlFVvdZtfv,1844,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis,148,1,245586,0,,
R_2SkjTk7OkJSGVXt,1945,Brandenburg,Oberspreewald-Lausitz,Kreis,118,1,72192,0,,
R_1Fn4uNi35WqNSG6,1979,Brandenburg,Oberspreewald-Lausitz,Kreis,118,1,72192,0,,
R_3Gwxn7mPDC9fUCE,1990,Brandenburg,Oberspreewald-Lausitz,Kreis,118,1,72192,0,,
R_2roLU0w7HoLLHtM,2625,Sachsen,Bautzen,Kreis,120,1,162866,0,,
R_4ZS9fkijknqK9ep,2785,Sachsen,Görlitz,Kreis,120,1,252725,0,,
R_3Nx2MpsMMc0mEX9,2827,Sachsen,Görlitz,Kreis,120,1,252725,0,,
R_snZXjgBaBOz8c9z,2953,Sachsen,Görlitz,Kreis,120,1,252725,0,,
R_3stuDdtiOnWvFRq,3046,Brandenburg,Cottbus,Stadt,602,0,99678,0,,
R_5iHtswUe4PKPEkh,3046,Brandenburg,Cottbus,Stadt,602,0,99678,0,,
R_3DjT5TIr9ERMuyc,3051,Brandenburg,Cottbus,Stadt,602,0,99678,0,,
R_1PRTTLK2AMEzDkW,3130,Brandenburg,Spree-Neiße,Kreis,69,1,113720,0,,
R_12P6OZvGlLro4aF,3130,Brandenburg,Spree-Neiße,Kreis,69,1,113720,0,,
R_vddPFJkSrcVBmed,3185,Brandenburg,Spree-Neiße,Kreis,69,1,113720,0,,
R_2Tztw0IP02p4jUD,4103,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_2PupXAV93ok25Oz,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_r1DxBzBbOfyAvQZ,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_pAFbNGzmZXzfLJT,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_2wH5gtU7QEHEU30,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_1F3rR7wbYZs7at4,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_3KDDyE8XYDraN8V,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_7WMC08RS7uQhEBz,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_3nSgxGRDm85BgNu,4105,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_1rOXS0Y4mbVYlXZ,4109,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_1ImGo6El4ktxgTf,4109,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_Tw4sUBFynbSaW4x,4129,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_25yilFL8OJLY2II,4129,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_2PiMew1rMVH6WDL,4155,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_2dRNYTwfrLofbkK,4155,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
R_9v2qnBtLrtfwEy5,4155,Sachsen,Leipzig,Stadt,1992,0,593145,1,,
