ResponseId,partner_work_hours,partner_work_hours_cat,num_children,num_partners,num_parents,num_siblings,age,gender,gender_code,education_level,education_cat,zip_code,vocational_qualification,has_university_degree,height_cm,weight_kg,bmi,risk_tolerance,personal_income_change,partner_income_change,task_share_food,task_share_childcare,task_share_education,task_share_housework,health_status,health_status_cat,household_income,personal_income,household_income_cat,personal_income_cat
R_1H6vmYVa1YtA3o0,55.0,Mehr als 50 Stunden,2.0,1.0,0.0,0.0,30.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),52066.0,Fachschulabschluss,0,193.0,84.0,22.550940964858118,8.0,1.0,0.0,57.0,62.0,84.0,35.0,2.0,Weniger gut,3750.5,,3501-4000€,
R_3QEt007f0LjSpSM,55.0,Mehr als 50 Stunden,,,,,46.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),70376.0,Lehre/ Berufsausbildung im dualen System,0,164.0,55.0,20.449137418203453,3.0,,,,,,,2.0,Weniger gut,,2750.5,,2501-3000€
R_2tyuYyCijR6gc7f,35.5,31-40 Stunden,,,,,32.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),66763.0,Lehre/ Berufsausbildung im dualen System,0,159.0,58.0,22.942130453700404,6.0,,,,,,,3.0,Zufriedenstellend,,1250.5,,1001-1500€
R_6eRlFBXrjgZqVu9,35.5,31-40 Stunden,1.0,1.0,0.0,0.0,36.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),40789.0,Lehre/ Berufsausbildung im dualen System,0,184.0,85.0,25.10633270321361,7.0,-1.0,1.0,68.0,92.0,71.0,69.0,5.0,Sehr gut,3750.5,,3501-4000€,
R_phExYyJgy2lUh9L,15.5,11-20 Stunden,,,,,52.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),13599.0,Lehre/ Berufsausbildung im dualen System,0,158.0,71.0,28.44095497516423,0.0,,,,,,,2.0,Weniger gut,,1250.5,,1001-1500€
R_tGP0YZM734mZBnj,0.0,Nicht erwerbstätig,,,,,34.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),22926.0,Lehre/ Berufsausbildung im dualen System,0,178.0,111.0,35.03345537179649,8.0,,,,,,,4.0,Gut,,1250.5,,1001-1500€
R_2dWGXb47zv9a0Fo,0.0,Nicht erwerbstätig,,,,,68.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),75323.0,Lehre/ Berufsausbildung im dualen System,0,170.0,60.0,20.761245674740486,1.0,,,,,,,4.0,Gut,,3750.5,,3501-4000€
R_2WUutoeqoSqtdav,45.5,41-50 Stunden,0.0,1.0,0.0,0.0,47.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),84048.0,Diplom,1,169.0,89.0,31.161373901474043,7.0,0.0,-1.0,66.0,,,61.0,4.0,Gut,6250.5,,6001-6500€,
R_3GDoAKmM0syW9RD,15.5,11-20 Stunden,2.0,1.0,0.0,0.0,28.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),52353.0,Lehre/ Berufsausbildung im dualen System,0,169.0,86.0,30.110990511536716,4.0,-1.0,-1.0,39.0,51.0,27.0,37.0,3.0,Zufriedenstellend,3250.5,,3001-3500€,
R_27fJ4ksCAK2513b,15.5,11-20 Stunden,2.0,1.0,0.0,0.0,38.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),74348.0,Diplom,1,186.0,87.0,25.14741588622962,9.0,0.0,-2.0,43.0,45.0,61.0,70.0,3.0,Zufriedenstellend,3250.5,,3001-3500€,
R_cZVnS1w87fr9QdP,45.5,41-50 Stunden,0.0,1.0,0.0,0.0,36.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),72202.0,Diplom,1,180.0,90.0,27.777777777777775,7.0,0.0,0.0,,,,,4.0,Gut,5250.5,,5001-5500€,
R_10C8Pj7fHTcWX67,0.0,Nicht erwerbstätig,,,,,66.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),45529.0,Lehre/ Berufsausbildung im dualen System,0,163.0,64.0,24.088223117166624,2.0,,,,,,,4.0,Gut,,1750.5,,1501-2000€
R_1lglE6KFzgnVj2w,35.5,31-40 Stunden,,,,,29.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),76185.0,"Lehre/ Berufsausbildung im dualen System,Bachelor",1,179.0,95.0,29.64951156330951,6.0,,,,,,,4.0,Gut,,2250.5,,2001-2500€
