ResponseId,Q179,Q4_4,Q80_1,Q256,Q190,Q191,Q120,Q4_2,Q4_3,Q4_5,Q82_1,Q83_1,Q84,Q219_3,Q219_4,Q243_1,Q243_2,Q243_3,Q243_9,Q211,Q86,Q87
R_1H6vmYVa1YtA3o0,Mehr als 50 Stunden,2,30,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,52066,1,0,0,193,84,8,leicht zugenommen,sich nicht verändert,57,62,84,35,Weniger gut,3501-4000€,
R_3QEt007f0LjSpSM,Mehr als 50 Stunden,,46,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,70376,,,,164,55,3,,,,,,,Weniger gut,,2501-3000€
R_2tyuYyCijR6gc7f,31-40 Stunden,,32,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,66763,,,,159,58,6,,,,,,,Zufriedenstellend,,1001-1500€
R_6eRlFBXrjgZqVu9,31-40 Stunden,1,36,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,40789,1,0,0,184,85,7,leicht abgenommen,leicht zugenommen,68,92,71,69,Sehr gut,3501-4000€,
R_phExYyJgy2lUh9L,11-20 Stunden,,52,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,13599,,,,158,71,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Weniger gut,,1001-1500€
R_tGP0YZM734mZBnj,Nicht erwerbstätig,,34,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,22926,,,,178,111,8,,,,,,,Gut,,1001-1500€
R_2dWGXb47zv9a0Fo,Nicht erwerbstätig,,68,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,75323,,,,170,60,1,,,,,,,Gut,,3501-4000€
R_2WUutoeqoSqtdav,41-50 Stunden,0,47,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,84048,1,0,0,169,89,7,sich nicht verändert,leicht abgenommen,66,,,61,Gut,6001-6500€,
R_3GDoAKmM0syW9RD,11-20 Stunden,2,28,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,52353,1,0,0,169,86,4,leicht abgenommen,leicht abgenommen,39,51,27,37,Zufriedenstellend,3001-3500€,
R_27fJ4ksCAK2513b,11-20 Stunden,2,38,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,74348,1,0,0,186,87,9,sich nicht verändert,stark abgenommen,43,45,61,70,Zufriedenstellend,3001-3500€,
R_cZVnS1w87fr9QdP,41-50 Stunden,0,36,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,72202,1,0,0,180,90,7,sich nicht verändert,sich nicht verändert,,,,,Gut,5001-5500€,
R_10C8Pj7fHTcWX67,Nicht erwerbstätig,,66,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,45529,,,,163,64,2,,,,,,,Gut,,1501-2000€
R_1lglE6KFzgnVj2w,31-40 Stunden,,29,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Bachelor",76185,,,,179,95,6,,,,,,,Gut,,2001-2500€
R_2VReUNx9Knl3qE5,41-50 Stunden,0,24,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,72108,1,0,0,156,70,7,sich nicht verändert,sich nicht verändert,50,,,58,Gut,4001-4500€,
R_1gORU9qM3zxybXH,31-40 Stunden,,45,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,82008,,,,187,122,1,,,,,,,Gut,,3001-3500€
R_2ByQsvVOHFpq5xA,Nicht erwerbstätig,,65,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,59199,,,,176,82,5,,,,,,,Zufriedenstellend,,1501-2000€
R_3n2z10sS5W5E4PA,41-50 Stunden,0,56,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss (DDR),35708,1,0,0,169,70,"0=überhaupt nicht bereit, Risiken einzugehen",leicht abgenommen,leicht abgenommen,50,,,50,Zufriedenstellend,2001-2500€,
R_2YsSdlCKQEFdF8c,31-40 Stunden,,52,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,54528,,,,169,79,2,,,,,,,Zufriedenstellend,,1001-1500€
